Wavelength [nm]    Cross section [cm^2]
      1900.05      0.00000
      1900.14      0.00000
      1900.24      0.00000
      1900.33      0.00000
      1900.43      0.00000
      1900.52      0.00000
      1900.62      0.00000
      1900.71      0.00000
      1900.81      0.00000
      1900.90      0.00000
      1901.00      0.00000
      1901.09      0.00000
      1901.19      0.00000
      1901.28      0.00000
      1901.38      0.00000
      1901.47      0.00000
      1901.57      0.00000
      1901.66      0.00000
      1901.76      0.00000
      1901.85      0.00000
      1901.95      0.00000
      1902.04      0.00000
      1902.14      0.00000
      1902.23      0.00000
      1902.33      0.00000
      1902.42      0.00000
      1902.52      0.00000
      1902.61      0.00000
      1902.71      0.00000
      1902.80      0.00000
      1902.90      0.00000
      1902.99      0.00000
      1903.09      0.00000
      1903.18      0.00000
      1903.28      0.00000
      1903.37      0.00000
      1903.47      0.00000
      1903.56      0.00000
      1903.66      0.00000
      1903.75      0.00000
      1903.85      0.00000
      1903.95      0.00000
      1904.04      0.00000
      1904.14      0.00000
      1904.23      0.00000
      1904.33      0.00000
      1904.42      0.00000
      1904.52      0.00000
      1904.61      0.00000
      1904.71      0.00000
      1904.80      0.00000
      1904.90      0.00000
      1904.99      0.00000
      1905.09      0.00000
      1905.18      0.00000
      1905.28      0.00000
      1905.37      0.00000
      1905.47      0.00000
      1905.56      0.00000
      1905.66      0.00000
      1905.75      0.00000
      1905.85      0.00000
      1905.95      0.00000
      1906.04      0.00000
      1906.14      0.00000
      1906.23      0.00000
      1906.33      0.00000
      1906.42      0.00000
      1906.52      0.00000
      1906.61      0.00000
      1906.71      0.00000
      1906.80      0.00000
      1906.90      0.00000
      1906.99      0.00000
      1907.09      0.00000
      1907.18      0.00000
      1907.28      0.00000
      1907.38      0.00000
      1907.47      0.00000
      1907.57      0.00000
      1907.66      0.00000
      1907.76      0.00000
      1907.85      0.00000
      1907.95      0.00000
      1908.04      0.00000
      1908.14      0.00000
      1908.23      0.00000
      1908.33      0.00000
      1908.42      0.00000
      1908.52      0.00000
      1908.62      0.00000
      1908.71      0.00000
      1908.81      0.00000
      1908.90      0.00000
      1909.00      0.00000
      1909.09      0.00000
      1909.19      0.00000
      1909.28      0.00000
      1909.38      0.00000
      1909.47      0.00000
      1909.57      0.00000
      1909.67      0.00000
      1909.76      0.00000
      1909.86      0.00000
      1909.95      0.00000
      1910.05      0.00000
      1910.14      0.00000
      1910.24      0.00000
      1910.33      0.00000
      1910.43      0.00000
      1910.52      0.00000
      1910.62      0.00000
      1910.72      0.00000
      1910.81      0.00000
      1910.91      0.00000
      1911.00      0.00000
      1911.10      0.00000
      1911.19      0.00000
      1911.29      0.00000
      1911.38      0.00000
      1911.48      0.00000
      1911.58      0.00000
      1911.67      0.00000
      1911.77      0.00000
      1911.86      0.00000
      1911.96      0.00000
      1912.05      0.00000
      1912.15      0.00000
      1912.25      0.00000
      1912.34      0.00000
      1912.44      0.00000
      1912.53      0.00000
      1912.63      0.00000
      1912.72      0.00000
      1912.82      0.00000
      1912.91      0.00000
      1913.01      0.00000
      1913.11      0.00000
      1913.20      0.00000
      1913.30      0.00000
      1913.39      0.00000
      1913.49      0.00000
      1913.58      0.00000
      1913.68      0.00000
      1913.78      0.00000
      1913.87      0.00000
      1913.97      0.00000
      1914.06      0.00000
      1914.16      0.00000
      1914.25      0.00000
      1914.35      0.00000
      1914.45      0.00000
      1914.54      0.00000
      1914.64      0.00000
      1914.73      0.00000
      1914.83      0.00000
      1914.92      0.00000
      1915.02      0.00000
      1915.12      0.00000
      1915.21      0.00000
      1915.31      0.00000
      1915.40      0.00000
      1915.50      0.00000
      1915.59      0.00000
      1915.69      0.00000
      1915.79      0.00000
      1915.88      0.00000
      1915.98      0.00000
      1916.07      0.00000
      1916.17      0.00000
      1916.27      0.00000
      1916.36      0.00000
      1916.46      0.00000
      1916.55      0.00000
      1916.65      0.00000
      1916.74      0.00000
      1916.84      0.00000
      1916.94      0.00000
      1917.03      0.00000
      1917.13      0.00000
      1917.22      0.00000
      1917.32      0.00000
      1917.42      0.00000
      1917.51      0.00000
      1917.61      0.00000
      1917.70      0.00000
      1917.80      0.00000
      1917.89      0.00000
      1917.99      0.00000
      1918.09      0.00000
      1918.18      0.00000
      1918.28      0.00000
      1918.37      0.00000
      1918.47      0.00000
      1918.57      0.00000
      1918.66      0.00000
      1918.76      0.00000
      1918.85      0.00000
      1918.95      0.00000
      1919.05      0.00000
      1919.14      0.00000
      1919.24      0.00000
      1919.33      0.00000
      1919.43      0.00000
      1919.53      0.00000
      1919.62      0.00000
      1919.72      0.00000
      1919.81      0.00000
      1919.91      0.00000
      1920.01      0.00000
      1920.10      0.00000
      1920.20      0.00000
      1920.29      0.00000
      1920.39      0.00000
      1920.49      0.00000
      1920.58      0.00000
      1920.68      0.00000
      1920.77      0.00000
      1920.87      0.00000
      1920.97      0.00000
      1921.06      0.00000
      1921.16      0.00000
      1921.25      0.00000
      1921.35      0.00000
      1921.45      0.00000
      1921.54      0.00000
      1921.64      0.00000
      1921.73      0.00000
      1921.83      0.00000
      1921.93      0.00000
      1922.02      0.00000
      1922.12      0.00000
      1922.21      0.00000
      1922.31      0.00000
      1922.41      0.00000
      1922.50      0.00000
      1922.60      0.00000
      1922.70      0.00000
      1922.79      0.00000
      1922.89      0.00000
      1922.98      0.00000
      1923.08      0.00000
      1923.18      0.00000
      1923.27      0.00000
      1923.37      0.00000
      1923.46      0.00000
      1923.56      0.00000
      1923.66      0.00000
      1923.75      0.00000
      1923.85      0.00000
      1923.95      0.00000
      1924.04      0.00000
      1924.14      0.00000
      1924.23      0.00000
      1924.33      0.00000
      1924.43      0.00000
      1924.52      0.00000
      1924.62      0.00000
      1924.72      0.00000
      1924.81      0.00000
      1924.91      0.00000
      1925.00      0.00000
      1925.10      0.00000
      1925.20      0.00000
      1925.29      0.00000
      1925.39      0.00000
      1925.49      0.00000
      1925.58      0.00000
      1925.68      0.00000
      1925.77      0.00000
      1925.87      0.00000
      1925.97      0.00000
      1926.06      0.00000
      1926.16      0.00000
      1926.26      0.00000
      1926.35      0.00000
      1926.45      0.00000
      1926.54      0.00000
      1926.64      0.00000
      1926.74      0.00000
      1926.83      0.00000
      1926.93      0.00000
      1927.03      0.00000
      1927.12      0.00000
      1927.22      0.00000
      1927.32      0.00000
      1927.41      0.00000
      1927.51      0.00000
      1927.60      0.00000
      1927.70      0.00000
      1927.80      0.00000
      1927.89      0.00000
      1927.99      0.00000
      1928.09      0.00000
      1928.18      0.00000
      1928.28      0.00000
      1928.38      0.00000
      1928.47      0.00000
      1928.57      0.00000
      1928.66      0.00000
      1928.76      0.00000
      1928.86      0.00000
      1928.95      0.00000
      1929.05      0.00000
      1929.15      0.00000
      1929.24      0.00000
      1929.34      0.00000
      1929.44      0.00000
      1929.53      0.00000
      1929.63      0.00000
      1929.73      0.00000
      1929.82      0.00000
      1929.92      0.00000
      1930.02      0.00000
      1930.11      0.00000
      1930.21      0.00000
      1930.30      0.00000
      1930.40      0.00000
      1930.50      0.00000
      1930.59      0.00000
      1930.69      0.00000
      1930.79      0.00000
      1930.88      0.00000
      1930.98      0.00000
      1931.08      0.00000
      1931.17      0.00000
      1931.27      0.00000
      1931.37      0.00000
      1931.46      0.00000
      1931.56      0.00000
      1931.66      0.00000
      1931.75      0.00000
      1931.85      0.00000
      1931.95      0.00000
      1932.04      0.00000
      1932.14      0.00000
      1932.24      0.00000
      1932.33      0.00000
      1932.43      0.00000
      1932.53      0.00000
      1932.62      0.00000
      1932.72      0.00000
      1932.82      0.00000
      1932.91      0.00000
      1933.01      0.00000
      1933.11      0.00000
      1933.20      0.00000
      1933.30      0.00000
      1933.40      0.00000
      1933.49      0.00000
      1933.59      0.00000
      1933.69      0.00000
      1933.78      0.00000
      1933.88      0.00000
      1933.98      0.00000
      1934.07      0.00000
      1934.17      0.00000
      1934.27      0.00000
      1934.36      0.00000
      1934.46      0.00000
      1934.56      0.00000
      1934.65      0.00000
      1934.75      0.00000
      1934.85      0.00000
      1934.94      0.00000
      1935.04      0.00000
      1935.14      0.00000
      1935.23      0.00000
      1935.33      0.00000
      1935.43      0.00000
      1935.52      0.00000
      1935.62      0.00000
      1935.72      0.00000
      1935.81      0.00000
      1935.91      0.00000
      1936.01      0.00000
      1936.10      0.00000
      1936.20      0.00000
      1936.30      0.00000
      1936.39      0.00000
      1936.49      0.00000
      1936.59      0.00000
      1936.69      0.00000
      1936.78      0.00000
      1936.88      0.00000
      1936.98      0.00000
      1937.07      0.00000
      1937.17      0.00000
      1937.27      0.00000
      1937.36      0.00000
      1937.46      0.00000
      1937.56      0.00000
      1937.65      0.00000
      1937.75      0.00000
      1937.85      0.00000
      1937.94      0.00000
      1938.04      0.00000
      1938.14      0.00000
      1938.23      0.00000
      1938.33      0.00000
      1938.43      0.00000
      1938.53      0.00000
      1938.62      0.00000
      1938.72      0.00000
      1938.82      0.00000
      1938.91      0.00000
      1939.01      0.00000
      1939.11      0.00000
      1939.20      0.00000
      1939.30      0.00000
      1939.40      0.00000
      1939.50      0.00000
      1939.59      0.00000
      1939.69      0.00000
      1939.79      0.00000
      1939.88      0.00000
      1939.98      0.00000
      1940.08      0.00000
      1940.17      0.00000
      1940.27      0.00000
      1940.37      0.00000
      1940.47      0.00000
      1940.56      0.00000
      1940.66      0.00000
      1940.76      0.00000
      1940.85      0.00000
      1940.95      0.00000
      1941.05      0.00000
      1941.14      0.00000
      1941.24      0.00000
      1941.34      0.00000
      1941.44      0.00000
      1941.53      0.00000
      1941.63      0.00000
      1941.73      0.00000
      1941.82      0.00000
      1941.92      0.00000
      1942.02      0.00000
      1942.12      0.00000
      1942.21      0.00000
      1942.31      0.00000
      1942.41      0.00000
      1942.50      0.00000
      1942.60      0.00000
      1942.70      0.00000
      1942.80      0.00000
      1942.89      0.00000
      1942.99      0.00000
      1943.09      0.00000
      1943.18      0.00000
      1943.28      0.00000
      1943.38      0.00000
      1943.48      0.00000
      1943.57      0.00000
      1943.67      0.00000
      1943.77      0.00000
      1943.86      0.00000
      1943.96      0.00000
      1944.06      0.00000
      1944.16      0.00000
      1944.25      0.00000
      1944.35      0.00000
      1944.45      0.00000
      1944.54      0.00000
      1944.64      0.00000
      1944.74      0.00000
      1944.84      0.00000
      1944.93      0.00000
      1945.03      0.00000
      1945.13      0.00000
      1945.22      0.00000
      1945.32      0.00000
      1945.42      0.00000
      1945.52      0.00000
      1945.61      0.00000
      1945.71      0.00000
      1945.81      0.00000
      1945.91      0.00000
      1946.00      0.00000
      1946.10      0.00000
      1946.20      0.00000
      1946.30      0.00000
      1946.39      0.00000
      1946.49      0.00000
      1946.59      0.00000
      1946.68      0.00000
      1946.78      0.00000
      1946.88      0.00000
      1946.98      0.00000
      1947.07      0.00000
      1947.17      0.00000
      1947.27      0.00000
      1947.37      0.00000
      1947.46      0.00000
      1947.56      0.00000
      1947.66      0.00000
      1947.76      0.00000
      1947.85      0.00000
      1947.95      0.00000
      1948.05      0.00000
      1948.14      0.00000
      1948.24      0.00000
      1948.34      0.00000
      1948.44      0.00000
      1948.53      0.00000
      1948.63      0.00000
      1948.73      0.00000
      1948.83      0.00000
      1948.92      0.00000
      1949.02      0.00000
      1949.12      0.00000
      1949.22      0.00000
      1949.31      0.00000
      1949.41      0.00000
      1949.51      0.00000
      1949.61      0.00000
      1949.70      0.00000
      1949.80      0.00000
      1949.90      0.00000
      1950.00      0.00000
      1950.09      0.00000
      1950.19      0.00000
      1950.29      0.00000
      1950.39      0.00000
      1950.48      0.00000
      1950.58      0.00000
      1950.68      0.00000
      1950.78      0.00000
      1950.87      0.00000
      1950.97      0.00000
      1951.07      0.00000
      1951.17      0.00000
      1951.26      0.00000
      1951.36      0.00000
      1951.46      0.00000
      1951.56      0.00000
      1951.65      0.00000
      1951.75      0.00000
      1951.85      0.00000
      1951.95      0.00000
      1952.05      0.00000
      1952.14      0.00000
      1952.24      0.00000
      1952.34      0.00000
      1952.44      0.00000
      1952.53      0.00000
      1952.63      0.00000
      1952.73      0.00000
      1952.83      0.00000
      1952.92      0.00000
      1953.02      0.00000
      1953.12      0.00000
      1953.22      0.00000
      1953.31      0.00000
      1953.41      0.00000
      1953.51      0.00000
      1953.61      0.00000
      1953.71      0.00000
      1953.80      0.00000
      1953.90      0.00000
      1954.00      0.00000
      1954.10      0.00000
      1954.19      0.00000
      1954.29      0.00000
      1954.39      0.00000
      1954.49      0.00000
      1954.58      0.00000
      1954.68      0.00000
      1954.78      0.00000
      1954.88      0.00000
      1954.98      0.00000
      1955.07      0.00000
      1955.17      0.00000
      1955.27      0.00000
      1955.37      0.00000
      1955.46      0.00000
      1955.56      0.00000
      1955.66      0.00000
      1955.76      0.00000
      1955.86      0.00000
      1955.95      0.00000
      1956.05      0.00000
      1956.15      0.00000
      1956.25      0.00000
      1956.34      0.00000
      1956.44      0.00000
      1956.54      0.00000
      1956.64      0.00000
      1956.74      0.00000
      1956.83      0.00000
      1956.93      0.00000
      1957.03      0.00000
      1957.13      0.00000
      1957.22      0.00000
      1957.32      0.00000
      1957.42      0.00000
      1957.52      0.00000
      1957.62      0.00000
      1957.71      0.00000
      1957.81      0.00000
      1957.91      0.00000
      1958.01      0.00000
      1958.11      0.00000
      1958.20      0.00000
      1958.30      0.00000
      1958.40      0.00000
      1958.50      0.00000
      1958.60      0.00000
      1958.69      0.00000
      1958.79      0.00000
      1958.89      0.00000
      1958.99      0.00000
      1959.08      0.00000
      1959.18      0.00000
      1959.28      0.00000
      1959.38      0.00000
      1959.48      0.00000
      1959.57      0.00000
      1959.67      0.00000
      1959.77      0.00000
      1959.87      0.00000
      1959.97      0.00000
      1960.06      0.00000
      1960.16      0.00000
      1960.26      0.00000
      1960.36      0.00000
      1960.46      0.00000
      1960.55      0.00000
      1960.65      0.00000
      1960.75      0.00000
      1960.85      0.00000
      1960.95      0.00000
      1961.04      0.00000
      1961.14      0.00000
      1961.24      0.00000
      1961.34      0.00000
      1961.44      0.00000
      1961.54      0.00000
      1961.63      0.00000
      1961.73      0.00000
      1961.83      0.00000
      1961.93      0.00000
      1962.03      0.00000
      1962.12      0.00000
      1962.22      0.00000
      1962.32      0.00000
      1962.42      0.00000
      1962.52      0.00000
      1962.61      0.00000
      1962.71      0.00000
      1962.81      0.00000
      1962.91      0.00000
      1963.01      0.00000
      1963.11      0.00000
      1963.20      0.00000
      1963.30      0.00000
      1963.40      0.00000
      1963.50      0.00000
      1963.60      0.00000
      1963.69      0.00000
      1963.79      0.00000
      1963.89      0.00000
      1963.99      0.00000
      1964.09      0.00000
      1964.18      0.00000
      1964.28      0.00000
      1964.38      0.00000
      1964.48      0.00000
      1964.58      0.00000
      1964.68      0.00000
      1964.77      0.00000
      1964.87      0.00000
      1964.97      0.00000
      1965.07      0.00000
      1965.17      0.00000
      1965.27      0.00000
      1965.36      0.00000
      1965.46      0.00000
      1965.56      0.00000
      1965.66      0.00000
      1965.76      0.00000
      1965.86      0.00000
      1965.95      0.00000
      1966.05      0.00000
      1966.15      0.00000
      1966.25      0.00000
      1966.35      0.00000
      1966.45      0.00000
      1966.54      0.00000
      1966.64      0.00000
      1966.74      0.00000
      1966.84      0.00000
      1966.94      0.00000
      1967.04      0.00000
      1967.13      0.00000
      1967.23      0.00000
      1967.33      0.00000
      1967.43      0.00000
      1967.53      0.00000
      1967.63      0.00000
      1967.72      0.00000
      1967.82      0.00000
      1967.92      0.00000
      1968.02      0.00000
      1968.12      0.00000
      1968.22      0.00000
      1968.31      0.00000
      1968.41      0.00000
      1968.51      0.00000
      1968.61      0.00000
      1968.71      0.00000
      1968.81      0.00000
      1968.90      0.00000
      1969.00      0.00000
      1969.10      0.00000
      1969.20      0.00000
      1969.30      0.00000
      1969.40      0.00000
      1969.50      0.00000
      1969.59      0.00000
      1969.69      0.00000
      1969.79      0.00000
      1969.89      0.00000
      1969.99      0.00000
      1970.09      0.00000
      1970.18      0.00000
      1970.28      0.00000
      1970.38      0.00000
      1970.48      0.00000
      1970.58      0.00000
      1970.68      0.00000
      1970.78      0.00000
      1970.87      0.00000
      1970.97      0.00000
